EDITOR_UPDATE,0
IMGUI_UPDATE,94
RENDER,235
TOTAL_FRAME,377
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,95
RENDER,227
TOTAL_FRAME,368
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,95
RENDER,224
TOTAL_FRAME,366
INPUT_HANDLING,69
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,97
RENDER,224
TOTAL_FRAME,438
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,95
RENDER,224
TOTAL_FRAME,411
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,94
RENDER,250
TOTAL_FRAME,392
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,98
RENDER,225
TOTAL_FRAME,369
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,226
TOTAL_FRAME,369
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,95
RENDER,225
TOTAL_FRAME,367
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,95
RENDER,226
TOTAL_FRAME,368
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,230
TOTAL_FRAME,373
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,97
RENDER,225
TOTAL_FRAME,369
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,212
TOTAL_FRAME,355
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,226
TOTAL_FRAME,369
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,229
TOTAL_FRAME,372
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,224
TOTAL_FRAME,367
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,97
RENDER,227
TOTAL_FRAME,372
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,218
TOTAL_FRAME,359
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,89
RENDER,212
TOTAL_FRAME,347
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,233
TOTAL_FRAME,376
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,94
RENDER,215
TOTAL_FRAME,354
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,95
RENDER,231
TOTAL_FRAME,372
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,95
RENDER,212
TOTAL_FRAME,354
INPUT_HANDLING,64
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,207
TOTAL_FRAME,413
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,90
RENDER,164
TOTAL_FRAME,298
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,88
RENDER,200
TOTAL_FRAME,332
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,99
RENDER,200
TOTAL_FRAME,346
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
RENDER,198
TOTAL_FRAME,329
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,85
RENDER,197
TOTAL_FRAME,326
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,194
TOTAL_FRAME,325
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,85
RENDER,196
TOTAL_FRAME,325
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,193
TOTAL_FRAME,322
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,84
RENDER,194
TOTAL_FRAME,322
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,197
TOTAL_FRAME,328
INPUT_HANDLING,2
FIXED_UPDATE,0
